Columna,Moda,Moda (#),Moda (%),Valores unicos (#),Valores unicos (%),Valores nulos (%)
Name,Robert Tait McKenzie,58,"0,021393056846515882",134732,"49,695333362841","0,0"
Sex,M,196594,"72,51287271868868",2,"0,0007376916153970993","0,0"
Team,United States,17847,"6,582791129996017",1184,"0,43671343631508286","0,0"
NOC,USA,18853,"6,953850012540758",230,"0,08483453577066644","0,0"
Season,Summer,222552,"82,08737219492764",2,"0,0007376916153970993","0,0"
City,London,22426,"8,271736083447676",42,"0,015491523923339088","0,0"
Sport,Athletics,38624,"14,246300476548784",66,"0,024343823308104282","0,0"
Event,Football Men's Football,5733,"2,1145930155357857",765,"0,28216704288939054","0,0"
Medal,Gold,13372,"4,932206140545007",3,"0,0011065374230956491","85,3262072323286"
