ID,Name,Sex,Age,Height,Weight,Team,NOC,Region,Region (ISO),Games,Year,Season,City,Host country,Host country (ISO),Sport,Event,Medal
79562,Lidija Mihajlovi,F,23.0,165.0,75.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Air Rifle, 10 metres",
79562,Lidija Mihajlovi,F,23.0,165.0,75.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
79735,Majda Milak,F,15.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
79789,Aleksandar Milenkovi,M,24.0,193.0,83.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,"Cycling Men's Road Race, Individual",
79789,Aleksandar Milenkovi,M,24.0,193.0,83.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,Cycling Men's 100 kilometres Team Time Trial,
79828,Mitar Milinkovi,M,20.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Judo,Judo Men's Heavyweight,
80010,Lazar Miloevi,M,17.0,183.0,65.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Canoeing,"Canoeing Men's Canadian Singles, Slalom",
80289,Nemanja Mirosavljev,M,22.0,185.0,70.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Men's Air Rifle, 10 metres",
80289,Nemanja Mirosavljev,M,22.0,185.0,70.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
80325,Popole Misenga,M,24.0,180.0,90.0,Refugee Olympic Athletes,ROT,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Judo,Judo Men's Middleweight,
83681,Sran Mukatirovi,M,20.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Tennis,Tennis Men's Singles,
86663,Tavevele Noa,M,20.0,176.0,74.0,Tuvalu,TUV,,,2012 Summer,2012,Summer,London,United Kingdom,GBR,Athletics,Athletics Men's 100 metres,
91133,Dano Panti,M,20.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Judo,Judo Men's Half-Heavyweight,
92345,Elizabeta Pavlovska,F,19.0,170.0,62.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Women's 100 metres Hurdles,
93433,Dragan Peri,M,28.0,186.0,107.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Men's Shot Put,
93478,Gordana Perkuin,F,30.0,168.0,59.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Table Tennis,Table Tennis Women's Doubles,
95271,Lazo Piva,M,25.0,199.0,94.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Rowing,Rowing Men's Coxless Pairs,
95464,Stevan Pletikosi,M,20.0,184.0,80.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
95856,Eszter Poljak,F,39.0,170.0,58.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Air Pistol, 10 metres",
96152,Duan Popeskov,M,23.0,182.0,78.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,Cycling Men's 100 kilometres Team Time Trial,
96152,Duan Popeskov,M,23.0,182.0,78.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,Cycling Men's Points Race,
96212,Slobodan Popovi,M,29.0,179.0,63.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Men's 800 metres,
96222,Lazar Popovski,M,18.0,175.0,67.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
97735,Abbas Qali,M,23.0,178.0,77.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Swimming,Swimming Men's 100 metres Butterfly,
